File,Sketch,Time-tree,Size-tree
f:06-nw:200-ml:14-0.trace,"G(&(p,?b1(!(q),?1)))",153.41,7
f:05-nw:050-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",6.02,9
f:01-nw:010-ml:06-0.trace,G(!(?1)),0.16,3
f:05-nw:200-ml:06-0.trace,"|(?1,F(&(p,F(q))))",30.65,7
f:07-nw:050-ml:06-0.trace,G(?1),1,2
f:08-nw:025-ml:10-0.trace,"?b1(F(q),?b2(p,q))",6.24,6
f:02-nw:200-ml:14-0.trace,"->(?1,U(!(p),q))",168.75,6
f:06-nw:010-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",3.07,10
f:01-nw:200-ml:06-0.trace,?u1(!(?1)),14.29,3
f:02-nw:050-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",22.82,7
f:05-nw:010-ml:06-0.trace,"?b1(?1,F(&(p,F(q))))",0.87,7
f:03-nw:050-ml:06-0.trace,"?u1(->(q,?1))",13.2,4
f:04-nw:010-ml:14-0.trace,?u1(p),0.56,2
f:02-nw:400-ml:14-0.trace,"->(?1,U(!(p),q))",398.97,6
f:07-nw:025-ml:14-0.trace,G(?1),1.05,2
f:03-nw:100-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",6.7,6
f:09-nw:010-ml:10-0.trace,"?u1(->(q,?u1(p)))",1.44,5
f:02-nw:100-ml:14-0.trace,"->(?1,?b1(!(p),q))",66.05,6
f:05-nw:025-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",14.22,9
f:01-nw:100-ml:06-0.trace,G(!(?1)),3.23,3
f:01-nw:400-ml:06-0.trace,?u1(!(?1)),47.48,3
f:04-nw:025-ml:06-0.trace,?u1(?1),0.78,2
f:03-nw:025-ml:14-0.trace,"?u1(->(q,?1))",26.44,4
f:06-nw:400-ml:14-0.trace,"G(&(p,?b1(!(q),?1)))",575.69,7
f:06-nw:100-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",52.12,10
f:07-nw:400-ml:06-0.trace,?u1(p),6.99,2
f:02-nw:025-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",2.27,7
f:05-nw:100-ml:06-0.trace,"?b1(?1,F(&(p,F(q))))",10.98,7
f:04-nw:100-ml:14-0.trace,?u1(p),5.24,2
f:09-nw:050-ml:10-0.trace,"?u1(->(q,?1))",6.28,4
f:05-nw:400-ml:06-0.trace,"|(?1,F(&(p,F(q))))",160.23,7
f:01-nw:050-ml:10-0.trace,?u1(!(?1)),2.93,3
f:08-nw:025-ml:06-0.trace,"->(?1,U(p,q))",2.38,5
f:07-nw:010-ml:10-0.trace,?u1(?1),0.46,2
f:03-nw:200-ml:10-0.trace,"?u1(->(q,?1))",151.53,4
f:07-nw:050-ml:10-0.trace,?u1(p),1.59,2
f:05-nw:200-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",56.42,9
f:01-nw:010-ml:10-0.trace,?u1(!(p)),0.42,3
f:09-nw:400-ml:06-0.trace,"?u1(->(q,?1))",85.96,4
f:05-nw:050-ml:10-0.trace,"|(?1,F(&(p,F(q))))",12.03,7
f:08-nw:400-ml:14-0.trace,"?b1(F(q),?b2(p,q))",161.69,6
f:07-nw:200-ml:10-0.trace,G(?1),16.8,2
f:03-nw:010-ml:10-0.trace,"G(->(q,?1))",1.77,4
f:09-nw:100-ml:06-0.trace,"G(->(q,?1))",9.36,4
f:05-nw:400-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",104.51,9
f:08-nw:050-ml:14-0.trace,"->(?1,U(p,q))",24.63,5
f:07-nw:400-ml:10-0.trace,G(?1),65.8,2
f:02-nw:025-ml:10-0.trace,"->(?1,U(!(p),q))",5.61,6
f:08-nw:200-ml:14-0.trace,"?b1(F(q),?b2(p,q))",95.64,6
f:09-nw:200-ml:06-0.trace,"?u1(->(q,?1))",31.88,4
f:07-nw:100-ml:10-0.trace,?u1(?1),7.05,2
f:01-nw:100-ml:10-0.trace,?u1(!(p)),3.84,3
f:06-nw:025-ml:10-0.trace,"G(&(p,?b1(!(q),?1)))",37.9,7
f:03-nw:400-ml:10-0.trace,"?u1(->(q,?1))",398.09,4
f:03-nw:100-ml:10-0.trace,"G(->(q,?1))",59.39,4
f:09-nw:010-ml:06-0.trace,"G(->(q,?1))",0.26,4
f:09-nw:400-ml:10-0.trace,"?u1(->(q,?1))",225.68,4
f:05-nw:050-ml:06-0.trace,"|(?1,F(&(p,F(q))))",5.64,7
f:07-nw:200-ml:06-0.trace,G(?1),11.72,2
f:03-nw:010-ml:06-0.trace,"G(->(q,?1))",0.95,4
f:09-nw:100-ml:10-0.trace,"G(->(q,?1))",23.95,4
f:07-nw:050-ml:06-0.trace,?u1(p),0.88,2
f:04-nw:200-ml:14-0.trace,?u1(?1),38.75,2
f:06-nw:050-ml:14-0.trace,"G(&(p,?b1(!(q),?1)))",20.71,7
f:05-nw:200-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",21.18,9
f:01-nw:010-ml:06-0.trace,?u1(!(p)),0.27,3
f:06-nw:010-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",5.98,13
f:01-nw:050-ml:06-0.trace,?u1(!(?1)),1.63,3
f:02-nw:200-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",98.21,7
f:08-nw:025-ml:10-0.trace,"->(?1,U(p,q))",5.98,5
f:07-nw:010-ml:06-0.trace,?u1(?1),0.24,2
f:03-nw:200-ml:06-0.trace,"?u1(->(q,?1))",61.4,4
f:04-nw:010-ml:14-0.trace,F(?1),0.31,2
f:02-nw:050-ml:14-0.trace,"->(?1,U(!(p),q))",24.23,6
f:06-nw:025-ml:06-0.trace,"G(&(p,?b1(!(q),?1)))",2.01,7
f:03-nw:400-ml:06-0.trace,"?u1(->(q,?1))",145.26,4
f:03-nw:100-ml:06-0.trace,"G(->(q,?1))",25.75,4
f:09-nw:010-ml:10-0.trace,"G(->(q,?1))",0.54,4
f:02-nw:400-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",164.38,7
f:07-nw:025-ml:14-0.trace,?u1(p),1.44,2
f:01-nw:100-ml:06-0.trace,?u1(!(p)),1.92,3
f:05-nw:025-ml:14-0.trace,"|(?1,F(&(p,F(q))))",9.73,7
f:07-nw:400-ml:06-0.trace,G(?1),43.92,2
f:02-nw:025-ml:06-0.trace,"->(?1,U(!(p),q))",2.34,6
f:06-nw:100-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",56.55,13
f:09-nw:200-ml:10-0.trace,"?u1(->(q,?1))",78.32,4
f:07-nw:100-ml:06-0.trace,?u1(?1),4.2,2
f:05-nw:400-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",43.92,9
f:04-nw:100-ml:14-0.trace,F(?1),9.21,2
f:04-nw:400-ml:14-0.trace,?u1(?1),132.92,2
f:01-nw:025-ml:14-0.trace,?u1(!(?1)),1.89,3
f:01-nw:200-ml:10-0.trace,?u1(!(?1)),23.49,3
f:05-nw:010-ml:10-0.trace,"?b1(?1,F(&(p,F(q))))",1.88,7
f:03-nw:050-ml:10-0.trace,"?u1(->(q,?1))",29.16,4
f:09-nw:025-ml:14-0.trace,"?u1(->(q,?1))",4.44,4
f:08-nw:025-ml:06-0.trace,"?b1(F(q),?b2(p,q))",2.34,6
f:01-nw:010-ml:10-0.trace,G(!(?1)),0.24,3
f:05-nw:200-ml:10-0.trace,"|(?1,F(&(p,F(q))))",73.74,7
f:07-nw:050-ml:10-0.trace,G(?1),1.49,2
f:03-nw:010-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",1.52,6
f:09-nw:100-ml:06-0.trace,"?u1(->(q,?u1(p)))",5.96,5
f:08-nw:400-ml:14-0.trace,"->(?1,U(p,q))",402,5
f:07-nw:200-ml:10-0.trace,?u1(p),5.86,2
f:08-nw:100-ml:14-0.trace,"->(?1,?b1(p,q))",65.48,5
f:05-nw:050-ml:10-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",13.57,9
f:05-nw:100-ml:10-0.trace,"?b1(?1,F(&(p,F(q))))",25.63,7
f:08-nw:050-ml:14-0.trace,"?b1(F(q),?b2(p,q))",21.72,6
f:09-nw:050-ml:06-0.trace,"?u1(->(q,?1))",5.27,4
f:05-nw:400-ml:10-0.trace,"|(?1,F(&(p,F(q))))",409.24,7
f:07-nw:400-ml:10-0.trace,?u1(p),12.34,2
f:08-nw:200-ml:14-0.trace,"->(?1,U(p,q))",163.63,5
f:02-nw:025-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",5.84,7
f:01-nw:100-ml:10-0.trace,G(!(?1)),5.62,3
f:01-nw:400-ml:10-0.trace,?u1(!(?1)),80.43,3
f:04-nw:025-ml:10-0.trace,?u1(?1),1.16,2
f:03-nw:100-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",14.82,6
f:09-nw:010-ml:06-0.trace,"?u1(->(q,?u1(p)))",0.65,5
f:08-nw:010-ml:14-0.trace,"->(?1,?b1(p,q))",4.59,5
f:02-nw:050-ml:10-0.trace,"->(?1,?b1(!(p),q))",14.95,6
f:04-nw:010-ml:10-0.trace,?u1(?1),0.46,2
f:09-nw:025-ml:06-0.trace,"?u1(->(q,?u1(p)))",1.54,5
f:08-nw:025-ml:14-0.trace,"->(?1,?b1(p,q))",12.32,5
f:06-nw:050-ml:10-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",9.11,10
f:04-nw:200-ml:10-0.trace,F(?1),18.25,2
f:04-nw:050-ml:10-0.trace,?u1(p),1.64,2
f:09-nw:100-ml:14-0.trace,"?u1(->(q,?1))",55.88,4
f:06-nw:200-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",56.92,13
f:09-nw:400-ml:14-0.trace,"G(->(q,?1))",435.77,4
f:08-nw:100-ml:06-0.trace,"?b1(F(q),?b2(p,q))",9.43,6
f:02-nw:010-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",2.44,7
f:04-nw:400-ml:10-0.trace,F(?1),67.95,2
f:01-nw:025-ml:10-0.trace,G(!(?1)),0.69,3
f:08-nw:050-ml:06-0.trace,"->(?1,?b1(p,q))",6.49,5
f:09-nw:050-ml:14-0.trace,"?u1(->(q,?u1(p)))",11.2,5
f:04-nw:100-ml:10-0.trace,?u1(?1),7.06,2
f:03-nw:025-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",3.56,6
f:09-nw:200-ml:14-0.trace,"G(->(q,?1))",133.56,4
f:06-nw:400-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",116.05,13
f:05-nw:025-ml:10-0.trace,"?b1(?1,F(&(p,F(q))))",4.58,7
f:09-nw:010-ml:14-0.trace,"?u1(->(q,?1))",1.51,4
f:08-nw:010-ml:06-0.trace,"?b1(F(q),?b2(p,q))",1.03,6
f:02-nw:100-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",22.72,7
f:08-nw:100-ml:10-0.trace,"->(?1,U(p,q))",31.52,5
f:02-nw:010-ml:06-0.trace,"->(?1,U(!(p),q))",0.9,6
f:06-nw:200-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",25.93,10
f:04-nw:050-ml:06-0.trace,F(?1),1.04,2
f:08-nw:400-ml:10-0.trace,"->(?1,?b1(p,q))",201.34,5
f:04-nw:200-ml:06-0.trace,?u1(p),3.43,2
f:07-nw:050-ml:14-0.trace,?u1(?1),4.44,2
f:01-nw:010-ml:14-0.trace,?u1(!(?1)),0.73,3
f:05-nw:200-ml:14-0.trace,"?b1(?1,F(&(p,F(q))))",146.08,7
f:06-nw:050-ml:06-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",6.49,13
f:02-nw:200-ml:06-0.trace,"->(?1,?b1(!(p),q))",36.78,6
f:01-nw:050-ml:14-0.trace,?u1(!(p)),3.11,3
f:06-nw:010-ml:06-0.trace,"G(&(p,?b1(!(q),?1)))",0.9,7
f:09-nw:025-ml:10-0.trace,"G(->(q,?1))",1.76,4
f:03-nw:200-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",46.42,6
f:07-nw:010-ml:14-0.trace,?u1(p),0.62,2
f:03-nw:050-ml:14-0.trace,"G(->(q,?1))",54.73,4
f:01-nw:200-ml:14-0.trace,G(!(?1)),32.87,3
f:05-nw:010-ml:14-0.trace,"|(?1,F(&(p,F(q))))",3.42,7
f:06-nw:025-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",15.11,13
f:03-nw:400-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",91.89,6
f:08-nw:010-ml:10-0.trace,"->(?1,U(p,q))",2.46,5
f:02-nw:100-ml:06-0.trace,"->(?1,U(!(p),q))",12.52,6
f:02-nw:400-ml:06-0.trace,"->(?1,?b1(!(p),q))",82.46,6
f:07-nw:025-ml:06-0.trace,?u1(?1),0.63,2
f:01-nw:400-ml:14-0.trace,G(!(?1)),121.32,3
f:04-nw:025-ml:14-0.trace,F(?1),0.91,2
f:01-nw:100-ml:14-0.trace,?u1(!(?1)),13.21,3
f:06-nw:100-ml:06-0.trace,"G(&(p,?b1(!(q),?1)))",17.99,7
f:08-nw:200-ml:10-0.trace,"->(?1,?b1(p,q))",92.45,5
f:07-nw:100-ml:14-0.trace,?u1(p),5.27,2
f:03-nw:025-ml:06-0.trace,"G(->(q,?1))",5.6,4
f:06-nw:400-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",75.97,10
f:05-nw:400-ml:14-0.trace,"?b1(?1,F(&(p,F(q))))",535.08,7
f:05-nw:100-ml:14-0.trace,"|(?1,F(&(p,F(q))))",51.43,7
f:04-nw:400-ml:06-0.trace,?u1(p),6.43,2
f:01-nw:025-ml:06-0.trace,?u1(!(p)),0.55,3
f:06-nw:050-ml:14-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",20.27,10
f:04-nw:200-ml:14-0.trace,F(?1),32.59,2
f:07-nw:200-ml:06-0.trace,?u1(?1),13.58,2
f:04-nw:050-ml:14-0.trace,?u1(p),2.7,2
f:03-nw:010-ml:06-0.trace,"?u1(->(q,?1))",1.16,4
f:09-nw:100-ml:10-0.trace,"?u1(->(q,?1))",28.56,4
f:06-nw:200-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",111.65,13
f:09-nw:400-ml:10-0.trace,"G(->(q,?1))",212.58,4
f:05-nw:050-ml:06-0.trace,"?b1(?1,F(&(p,F(q))))",4.71,7
f:02-nw:010-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",4.61,7
f:05-nw:010-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",1.26,9
f:01-nw:200-ml:06-0.trace,?u1(!(p)),3.71,3
f:02-nw:050-ml:14-0.trace,"->(?1,?b1(!(p),q))",26.09,6
f:04-nw:010-ml:14-0.trace,?u1(?1),0.62,2
f:03-nw:050-ml:06-0.trace,"?u1(->(q,?u1(!(p))))",3.48,6
f:07-nw:010-ml:06-0.trace,G(?1),0.13,2
f:03-nw:200-ml:06-0.trace,"G(->(q,?1))",58.2,4
f:01-nw:050-ml:06-0.trace,G(!(?1)),1.09,3
f:08-nw:025-ml:10-0.trace,"->(?1,?b1(p,q))",7.42,5
f:05-nw:025-ml:14-0.trace,"?b1(?1,F(&(p,F(q))))",9.37,7
f:01-nw:400-ml:06-0.trace,?u1(!(p)),7.3,3
f:04-nw:025-ml:06-0.trace,?u1(p),0.52,2
f:03-nw:100-ml:06-0.trace,"?u1(->(q,?1))",27.99,4
f:09-nw:010-ml:10-0.trace,"?u1(->(q,?1))",0.97,4
f:02-nw:100-ml:14-0.trace,"?b1(F(q),?b2(!(p),q))",48.78,7
f:06-nw:025-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",1.86,10
f:03-nw:400-ml:06-0.trace,"G(->(q,?1))",136.99,4
f:04-nw:400-ml:14-0.trace,F(?1),119.37,2
f:01-nw:025-ml:14-0.trace,G(!(?1)),1.06,3
f:05-nw:100-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",11.88,9
f:09-nw:050-ml:10-0.trace,"?u1(->(q,?u1(p)))",6.4,5
f:04-nw:100-ml:14-0.trace,?u1(?1),12.37,2
f:09-nw:200-ml:10-0.trace,"G(->(q,?1))",67.62,4
f:03-nw:025-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",5.52,6
f:06-nw:400-ml:14-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",229.41,13
f:07-nw:100-ml:06-0.trace,G(?1),3.11,2
f:07-nw:400-ml:06-0.trace,?u1(?1),47.46,2
f:02-nw:025-ml:06-0.trace,"->(?1,?b1(!(p),q))",2.86,6
f:01-nw:050-ml:10-0.trace,?u1(!(p)),1.93,3
f:03-nw:200-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",28.08,6
f:09-nw:025-ml:14-0.trace,"G(->(q,?1))",2.83,4
f:07-nw:010-ml:10-0.trace,?u1(p),0.39,2
f:03-nw:050-ml:10-0.trace,"G(->(q,?1))",26.9,4
f:01-nw:200-ml:10-0.trace,G(!(?1)),19.68,3
f:05-nw:010-ml:10-0.trace,"|(?1,F(&(p,F(q))))",2.21,7
f:08-nw:100-ml:14-0.trace,"->(?1,U(p,q))",59.67,5
f:09-nw:400-ml:06-0.trace,"?u1(->(q,?u1(p)))",25.94,5
f:08-nw:400-ml:14-0.trace,"->(?1,?b1(p,q))",412.5,5
f:07-nw:050-ml:10-0.trace,?u1(?1),2.45,2
f:01-nw:010-ml:10-0.trace,?u1(!(?1)),0.46,3
f:05-nw:200-ml:10-0.trace,"?b1(?1,F(&(p,F(q))))",71.37,7
f:08-nw:200-ml:14-0.trace,"->(?1,?b1(p,q))",181.43,5
f:07-nw:100-ml:10-0.trace,?u1(p),2.97,2
f:09-nw:200-ml:06-0.trace,"?u1(->(q,?u1(p)))",12.91,5
f:09-nw:050-ml:06-0.trace,"G(->(q,?1))",3.97,4
f:05-nw:400-ml:10-0.trace,"?b1(?1,F(&(p,F(q))))",256.64,7
f:05-nw:100-ml:10-0.trace,"|(?1,F(&(p,F(q))))",27.51,7
f:06-nw:025-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",7.41,13
f:03-nw:400-ml:10-0.trace,"?u1(->(q,?u1(!(p))))",56.92,6
f:08-nw:010-ml:14-0.trace,"->(?1,U(p,q))",4.03,5
f:01-nw:400-ml:10-0.trace,G(!(?1)),71.23,3
f:04-nw:025-ml:10-0.trace,F(?1),0.61,2
f:01-nw:100-ml:10-0.trace,?u1(!(?1)),7.67,3
f:06-nw:010-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",3,13
f:08-nw:025-ml:14-0.trace,"->(?1,U(p,q))",10.95,5
f:02-nw:200-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",48.37,7
f:04-nw:010-ml:10-0.trace,F(?1),0.22,2
f:02-nw:050-ml:10-0.trace,"->(?1,U(!(p),q))",11.74,6
f:09-nw:400-ml:14-0.trace,"?u1(->(q,?1))",496.61,4
f:08-nw:400-ml:06-0.trace,"?b1(F(q),?b2(p,q))",34.38,6
f:09-nw:100-ml:14-0.trace,"G(->(q,?1))",48.83,4
f:04-nw:200-ml:10-0.trace,?u1(?1),22.56,2
f:06-nw:050-ml:10-0.trace,"G(&(p,?b1(!(q),?1)))",74.07,7
f:08-nw:200-ml:06-0.trace,"?b1(F(q),?b2(p,q))",19.59,6
f:06-nw:100-ml:10-0.trace,"G(&(p,?b1(!(q),?b2(!(q),&(r,!(q))))))",28.5,13
f:09-nw:200-ml:14-0.trace,"?u1(->(q,?1))",142.09,4
f:04-nw:100-ml:10-0.trace,F(?1),5.04,2
f:04-nw:400-ml:10-0.trace,?u1(?1),79.55,2
f:01-nw:025-ml:10-0.trace,?u1(!(?1)),1.23,3
f:08-nw:050-ml:06-0.trace,"->(?1,U(p,q))",5.23,5
f:09-nw:010-ml:14-0.trace,"G(->(q,?1))",0.85,4
f:02-nw:400-ml:10-0.trace,"?b1(F(q),?b2(!(p),q))",83.47,7
f:07-nw:025-ml:10-0.trace,?u1(p),0.95,2
f:05-nw:025-ml:10-0.trace,"|(?1,F(&(p,F(q))))",5.47,7
f:01-nw:010-ml:14-0.trace,G(!(?1)),0.38,3
f:05-nw:200-ml:14-0.trace,"|(?1,F(&(p,F(q))))",152.24,7
f:07-nw:050-ml:14-0.trace,G(?1),2.76,2
f:03-nw:010-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",2.15,6
f:04-nw:050-ml:06-0.trace,?u1(?1),1.55,2
f:08-nw:400-ml:10-0.trace,"->(?1,U(p,q))",190.19,5
f:07-nw:200-ml:14-0.trace,?u1(p),9.79,2
f:08-nw:100-ml:10-0.trace,"->(?1,?b1(p,q))",34.37,5
f:02-nw:010-ml:06-0.trace,"->(?1,?b1(!(p),q))",1.13,6
f:05-nw:050-ml:14-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",28.55,9
f:06-nw:200-ml:06-0.trace,"G(&(p,?b1(!(q),?1)))",42.66,7
f:02-nw:050-ml:06-0.trace,"?b1(F(q),?b2(!(p),q))",4.88,7
f:01-nw:200-ml:14-0.trace,?u1(!(?1)),40.05,3
f:05-nw:010-ml:14-0.trace,"?b1(?1,F(&(p,F(q))))",3.51,7
f:03-nw:050-ml:14-0.trace,"?u1(->(q,?1))",57.21,4
f:04-nw:010-ml:06-0.trace,?u1(p),0.25,2
f:09-nw:025-ml:10-0.trace,"?u1(->(q,?1))",2.66,4
f:02-nw:200-ml:06-0.trace,"->(?1,U(!(p),q))",30.53,6
f:06-nw:010-ml:06-0.trace,"G(&(p,->(!(q),U(!(q),?1))))",0.76,10
f:05-nw:025-ml:06-0.trace,"?b1(G(!(p)),F(?b2(p,F(q))))",3.17,9
f:01-nw:100-ml:14-0.trace,G(!(?1)),9.65,3
f:01-nw:400-ml:14-0.trace,?u1(!(?1)),138.52,3
f:04-nw:025-ml:14-0.trace,?u1(?1),1.67,2
f:02-nw:400-ml:06-0.trace,"->(?1,U(!(p),q))",72.07,6
f:07-nw:025-ml:06-0.trace,G(?1),0.34,2
f:03-nw:100-ml:14-0.trace,"?u1(->(q,?u1(!(p))))",22.26,6
f:08-nw:010-ml:10-0.trace,"->(?1,?b1(p,q))",2.76,5
f:02-nw:100-ml:06-0.trace,"->(?1,?b1(!(p),q))",14.63,6
